,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Thrift Shop (feat. Wanz),The Heist [Deluxe Edition],Macklemore & Ryan Lewis,2012-10-09,235613,74,0.781,0.0619,0.781,0.526,0.0,0.0457,-6.985,0.293,94.992,4
1,Blurred Lines,Blurred Lines,Robin Thicke,2013-01-01,263053,57,0.861,0.00412,0.861,0.504,1.78e-05,0.0783,-7.707,0.0489,120.0,4
2,Radioactive,Night Visions,Imagine Dragons,2012-09-04,186813,79,0.448,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,4
3,La La La,Hotel Cabana (Deluxe Version),Naughty Boy,2013-01-01,222200,69,0.772,0.107,0.772,0.65,1.13e-06,0.0905,-5.202,0.0306,125.083,4
4,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,82,0.726,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,4
5,Ain't It Fun,Paramore,Paramore,2013-04-05,296520,74,0.61,0.154,0.61,0.893,4.41e-05,0.021,-3.681,0.0921,104.031,4
6,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2013-04-19,248413,79,0.794,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,4
7,Wake Me Up,True,Avicii,2013-09-13,247426,85,0.532,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
8,What About Us,Living For The Weekend (Deluxe Edition),The Saturdays,2013-01-01,220682,61,0.704,0.0059,0.704,0.68,0.0,0.213,-4.751,0.0581,123.973,4
9,Need U (100%) [feat. A*M*E] - Radio Edit,need u (100%) (feat. a*m*e),Duke Dumont,2013-05-03,174853,37,0.681,0.00176,0.681,0.835,0.00183,0.354,-5.705,0.049,124.047,4
10,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,82,0.778,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
11,White Noise,Settle (Special Edition),Disclosure,2014-01-01,277687,52,0.665,0.00963,0.665,0.844,0.000215,0.311,-6.164,0.0501,119.978,4
12,Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,77,0.554,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4
13,One Way or Another (Teenage Kicks),One Way Or Another (Teenage Kicks),One Direction,2013-02-17,157293,72,0.489,0.025,0.489,0.867,0.0,0.586,-3.121,0.071,162.131,4
14,Drinking from the Bottle (feat. Tinie Tempah),18 Months,Calvin Harris,2012-10-29,240346,64,0.665,0.0469,0.665,0.886,6.24e-05,0.0525,-4.175,0.0514,128.062,4
15,Hey Porsche,M.O. (Deluxe Edition),Nelly,2013-09-30,209466,60,0.726,0.136,0.726,0.795,0.0,0.698,-4.653,0.029,115.995,4
16,Dear Darlin',Right Place Right Time (Expanded Edition),Olly Murs,2012-11-26,206373,59,0.512,0.00627,0.512,0.828,8.73e-06,0.119,-4.672,0.0454,124.021,4
17,Everything Has Changed,Red (Big Machine Radio Release Special),Taylor Swift,2012-10-22,245413,68,0.624,0.36,0.624,0.458,3.89e-06,0.311,-6.755,0.0287,80.016,4
18,Look Right Through - MK Vocal Edit,Look Right Through (Remixes),Storm Queen,2014-08-11,150400,38,0.832,0.00304,0.832,0.815,0.00553,0.263,-8.035,0.081,119.995,4
19,Ready or Not,Hello My Name Is...,Bridgit Mendler,2012-01-01,200946,73,0.715,0.00351,0.715,0.872,3.84e-05,0.107,-3.835,0.0509,93.043,4
20,Don't Stop the Party (feat. TJR),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,206120,62,0.722,0.00726,0.722,0.958,0.0,0.375,-3.617,0.0912,127.008,4
21,I Will Wait,Babel (Deluxe Version),Mumford & Sons,2012-09-21,276720,67,0.486,0.0119,0.486,0.769,0.00832,0.197,-5.14,0.0341,131.286,4
22,Little Talks,My Head Is An Animal,Of Monsters and Men,2012-01-01,266600,79,0.457,0.0206,0.457,0.757,0.0,0.146,-5.177,0.032,102.961,4
23,Berzerk,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,238746,68,0.739,0.0217,0.739,0.872,0.0,0.26,-4.059,0.333,95.084,4
24,The Fox (What Does the Fox Say?),The Fox (What Does the Fox Say?),Ylvis,2013-09-02,213708,66,0.703,0.107,0.703,0.867,0.0,0.119,-4.292,0.0453,128.008,4
25,Sure Be Cool If You Did,Based on a True Story... (Deluxe Edition),Blake Shelton,2013-03-26,215720,60,0.576,0.255,0.576,0.726,0.0,0.108,-4.625,0.035,136.802,4
26,Counting Stars,Native,OneRepublic,2013-01-01,257266,82,0.664,0.0654,0.664,0.705,0.0,0.118,-4.972,0.0382,122.016,4
27,Pompeii,All This Bad Blood,Bastille,2013-01-01,214147,73,0.679,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4
28,The Monster,The Marshall Mathers LP2,Eminem,2013-11-05,250188,76,0.781,0.0525,0.781,0.853,0.0,0.12,-3.68,0.0715,110.049,4
29,Royals,Pure Heroine,Lorde,2013-09-27,190185,77,0.674,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
30,Let Her Go,All The Little Lights,Passenger,2012-11-05,252866,78,0.509,0.385,0.509,0.538,0.0,0.104,-7.335,0.0572,75.089,4
31,Wrecking Ball,Bangerz (Deluxe Version),Miley Cyrus,2013-10-04,221360,77,0.53,0.407,0.53,0.422,0.0,0.107,-6.262,0.0342,119.964,4
32,"Hold On, We're Going Home",Nothing Was The Same (Deluxe),Drake,2013-01-01,227880,74,0.773,0.00411,0.773,0.414,3.4e-05,0.0733,-7.436,0.0961,99.993,4
33,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,85,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
34,Waiting All Night (feat. Ella Eyre),Home (Deluxe Edition),Rudimental,2013-02-22,292586,66,0.544,0.00264,0.544,0.728,0.00959,0.427,-5.358,0.05,174.983,4
35,Love Me Again,Tribute,John Newman,2013-01-01,239894,73,0.495,0.00453,0.495,0.894,0.000596,0.103,-4.814,0.0441,126.03,4
36,Burn,Halcyon Days,Ellie Goulding,2014-01-01,231211,71,0.559,0.31,0.559,0.777,0.0,0.105,-5.031,0.0432,87.016,4
37,Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,2012-10-09,258342,84,0.641,0.0291,0.641,0.922,0.0,0.0862,-4.457,0.0786,146.078,4
38,I Knew You Were Trouble.,Red (Big Machine Radio Release Special),Taylor Swift,2012-10-22,219720,78,0.622,0.00454,0.622,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,4
39,Scream & Shout,#willpower,will.i.am,2013-01-01,283400,76,0.772,0.019,0.772,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,4
40,I Love It (feat. Charli XCX),THIS IS... ICONA POP,Icona Pop,2013-08-27,157152,67,0.711,0.00952,0.711,0.906,1.64e-05,0.153,-2.671,0.0284,125.916,4
41,Ho Hey,The Lumineers (Deluxe Edition),The Lumineers,2012,163133,75,0.682,0.765,0.682,0.471,0.0,0.0908,-9.182,0.0301,79.907,4
42,Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,76,0.621,0.945,0.621,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,4
