,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
1,Despacito (Featuring Daddy Yankee),Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,228200,7,0.66,0.209,0.66,0.786,0.0,0.112,-4.757,0.17,177.833,4
2,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,82,0.853,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4
3,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,84,0.617,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4
4,Chameleon,Chameleon,PNAU,2017-03-31,198320,50,0.563,0.002,0.563,0.938,0.000377,0.314,-3.194,0.0649,119.857,4
5,Criminal,Criminal,Natti Natasha,2017-09-01,232549,77,0.814,0.03,0.814,0.813,9.33e-05,0.255,-3.023,0.0561,79.997,4
6,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,3,0.906,0.000243,0.906,0.625,3.23e-05,0.0975,-6.779,0.0903,150.018,4
7,Sky Walker (feat. Travis Scott),War & Leisure,Miguel,2017-12-01,259333,76,0.674,0.173,0.674,0.506,0.0,0.0866,-10.532,0.0434,145.965,4
8,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,343150,77,0.927,0.061,0.927,0.665,0.0,0.123,-5.313,0.244,127.076,4
9,Plain Jane,Still Striving,A$AP Ferg,2017-08-18,173600,77,0.797,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,4
10,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,84,0.63,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,4
11,Whatever It Takes,Evolve,Imagine Dragons,2017-06-23,201240,82,0.672,0.0362,0.672,0.655,0.0,0.117,-5.021,0.0311,134.945,4
12,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706,85,0.732,0.00264,0.732,0.75,0.0,0.109,-6.366,0.231,155.096,4
13,Don't Leave,Don't Leave,Snakehips,2017-01-06,214693,67,0.657,0.222,0.657,0.703,0.0,0.256,-3.402,0.0753,122.381,4
14,All Night,Night & Day (Night Edition),The Vamps,2017-07-14,197640,77,0.538,0.0041,0.538,0.804,0.0,0.33,-5.194,0.0358,144.992,4
15,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,82,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
16,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,288600,76,0.609,0.0552,0.609,0.668,0.0,0.167,-4.284,0.0367,80.924,4
17,You Don't Know Me - Radio Edit,You Don't Know Me,Jax Jones,2016-12-09,213946,1,0.876,0.163,0.876,0.669,0.0,0.185,-6.054,0.138,124.007,4
18,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,79,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4
19,Solo Dance,Solo Dance,Martin Jensen,2016-11-04,174933,2,0.744,0.0435,0.744,0.836,0.0,0.194,-2.396,0.0507,114.965,4
20,Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,204173,76,0.671,0.0329,0.671,0.672,0.0,0.118,-3.094,0.0688,97.979,4
21,Mama,Jonas Blue: Electronic Nature - The Mix 2017,Jonas Blue,2017-07-14,181614,60,0.739,0.091,0.739,0.792,0.0,0.0516,-4.256,0.0418,104.016,4
22,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,216408,79,0.696,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,4
23,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,80,0.624,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,4
24,Passionfruit,More Life,Drake,2017-03-18,298940,2,0.809,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,4
25,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,5,0.857,0.381,0.857,0.8,0.0,0.0913,-4.035,0.0583,121.996,4
26,Strip That Down,Strip That Down,Liam Payne,2017-05-18,204502,4,0.869,0.246,0.869,0.485,0.0,0.0765,-5.595,0.0545,106.028,4
27,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,220780,79,0.64,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,4
28,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
29,Paris,Memories...Do Not Open,The Chainsmokers,2017-04-07,221506,72,0.653,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,0.0304,99.99,4
30,Attention,Attention,Charlie Puth,2017-04-20,211475,6,0.774,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0.0432,100.041,4
31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,223413,78,0.893,0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,4
32,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,251088,78,0.72,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4
33,Mask Off,FUTURE,Future,2017-06-30,204600,81,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4
34,Human,Human (Deluxe),Rag'n'Bone Man,2017-02-10,200186,78,0.602,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.09,4
35,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,220883,81,0.584,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,137.972,4
