"","name","album","artist","release_date","length","popularity","danceability","acousticness","danceability.1","energy","instrumentalness","liveness","loudness","speechiness","tempo","time_signature","tempo_fs"
"424","Classic","MKTO","MKTO","2013-06-21",2.92376666666667,81,0.72,0.0384,0.72,0.791,0,0.157,-4.689,0.124,102.071,4,"moderato"
"439","Demons","Night Visions","Imagine Dragons","2012-09-04",2.95843333333333,81,0.505,0.19,0.505,0.71,0.00025,0.269,-3.015,0.0321,89.938,4,"moderato"
"457","Riptide","Dream Your Life Away","Vance Joy","2014-09-08",3.40466666666667,81,0.484,0.431,0.484,0.731,0,0.151,-6.694,0.0379,101.654,4,"moderato"
"515","Sugar","V","Maroon 5","2014-09-02",3.92488333333333,81,0.748,0.0591,0.748,0.788,0,0.0863,-7.055,0.0334,120.076,4,"allegro"
"522","Sorry","Purpose (Deluxe)","Justin Bieber","2015-11-13",3.34643333333333,81,0.654,0.0797,0.654,0.76,0,0.299,-3.669,0.045,99.945,4,"moderato"
"523","Don't Let Me Down (feat. Daya)","Don't Let Me Down (feat. Daya)","The Chainsmokers","2016-02-05",3.47288333333333,81,0.532,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,4,"vivace"
"528","Can't Feel My Face","Beauty Behind The Madness","The Weeknd","2015-08-28",3.55866666666667,81,0.705,0.113,0.705,0.769,0,0.105,-5.526,0.0425,107.949,4,"moderato"
"529","Shut Up and Dance","TALKING IS HARD","WALK THE MOON","2014-12-02",3.318,81,0.578,0.00701,0.578,0.866,0,0.257,-3.804,0.0619,128.038,4,"allegro"
"612","Sorry","Purpose (Deluxe)","Justin Bieber","2015-11-13",3.34643333333333,81,0.654,0.0797,0.654,0.76,0,0.299,-3.669,0.045,99.945,4,"moderato"
"619","7 Years","Lukas Graham","Lukas Graham","2016-04-01",3.955,81,0.765,0.287,0.765,0.473,0,0.391,-5.829,0.0514,119.992,4,"allegro"
"620","This Is What You Came For (feat. Rihanna)","This Is What You Came For (feat. Rihanna)","Calvin Harris","2016-04-29",3.70266666666667,81,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4,"allegro"
"624","Don't Let Me Down (feat. Daya)","Don't Let Me Down (feat. Daya)","The Chainsmokers","2016-02-05",3.47288333333333,81,0.532,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,4,"vivace"
"631","i hate u, i love u (feat. olivia o'brien)","us","gnash","2016-03-25",4.18388333333333,81,0.492,0.687,0.492,0.275,0,0.101,-13.4,0.3,92.6,4,"moderato"
"673","We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind","Charlie Puth","2016-01-29",3.62843333333333,81,0.728,0.621,0.728,0.563,0,0.179,-8.053,0.134,100.017,4,"moderato"
"684","Faded","Different World","Alan Walker","2018-12-14",3.5351,81,0.468,0.0281,0.468,0.627,7.97e-06,0.11,-5.085,0.0476,179.642,4,"vivace"
"686","Cake By The Ocean","DNCE","DNCE","2016-11-18",3.65243333333333,81,0.774,0.152,0.774,0.753,0,0.0371,-5.446,0.0517,119.002,4,"allegro"
"694","Let Me Love You","Encore","DJ Snake","2016-08-05",3.43243333333333,81,0.649,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4,"moderato"
"734","Mask Off","FUTURE","Future","2017-06-30",3.41,81,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4,"allegro"
"736","Scared to Be Lonely","Scared to Be Lonely","Martin Garrix","2017-01-27",3.68138333333333,81,0.584,0.0895,0.584,0.54,0,0.261,-7.786,0.0576,137.972,4,"allegro"
"770","Feel It Still","Woodstock","Portugal. The Man","2017-06-16",2.72088333333333,81,0.801,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4,"andante"
"798","I Feel It Coming","Starboy","The Weeknd","2016-11-25",4.48643333333333,81,0.773,0.428,0.773,0.819,0,0.0679,-5.946,0.118,92.987,4,"moderato"
"804","Meant to Be (feat. Florida Georgia Line)","All Your Fault: Pt. 2","Bebe Rexha","2017-08-11",2.73116666666667,81,0.643,0.047,0.643,0.783,0,0.083,-6.458,0.0856,154.084,4,"allegro"
"810","In My Feelings","Scorpion","Drake","2018-06-29",3.63208333333333,81,0.835,0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,91.03,4,"moderato"
"830","Taste (feat. Offset)","Taste (feat. Offset)","Tyga","2018-05-16",3.88265,81,0.884,0.0236,0.884,0.559,0,0.101,-7.442,0.12,97.994,4,"moderato"
"831","Yes Indeed","Harder Than Ever","Lil Baby","2018-05-18",2.37121666666667,81,0.963,0.0355,0.963,0.346,0,0.108,-9.309,0.53,119.957,4,"allegro"
"836","Feel It Still","Woodstock","Portugal. The Man","2017-06-16",2.72088333333333,81,0.801,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4,"andante"
"850","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar","2018-02-09",3.86976666666667,81,0.698,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4,"moderato"
"851","Nonstop","Scorpion","Drake","2018-06-29",3.9769,81,0.912,0.0165,0.912,0.412,0.0126,0.104,-8.074,0.123,154.983,4,"allegro"
"858","Wolves","Wolves","Selena Gomez","2017-10-25",3.29988333333333,81,0.724,0.124,0.724,0.804,0,0.204,-4.614,0.0448,124.987,4,"allegro"
"913","I Don't Care (with Justin Bieber)","No.6 Collaborations Project","Ed Sheeran","2019-07-12",3.66576666666667,81,0.798,0.0902,0.798,0.676,0,0.0894,-5.041,0.0442,101.956,4,"moderato"
"923","Old Town Road","7 EP","Lil Nas X","2019-06-21",1.88333333333333,81,0.907,0.0578,0.907,0.53,2.23e-06,0.101,-6.112,0.127,135.998,4,"allegro"
"925","break up with your girlfriend, i'm bored","thank u, next","Ariana Grande","2019-02-08",3.174,81,0.726,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4,"vivace"
"942","MIA (feat. Drake)","MIA (feat. Drake)","Bad Bunny","2018-10-11",3.50611666666667,81,0.817,0.0141,0.817,0.539,0.000496,0.099,-6.349,0.0621,97.062,4,"moderato"
"957","Lover","Lover","Taylor Swift","2019-08-23",3.68843333333333,81,0.359,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4,"andante"
"961","Kill This Love","KILL THIS LOVE","BLACKPINK","2019-04-05",3.15086666666667,81,0.738,0.32,0.738,0.861,0.00175,0.325,-4.141,0.237,131.974,4,"allegro"
"974","So Am I","So Am I","Ava Max","2019-03-07",3.05043333333333,81,0.682,0.0737,0.682,0.656,0,0.353,-4.67,0.0435,130.089,4,"allegro"
"979","Here With Me","Here With Me","Marshmello","2019-03-08",2.60576666666667,81,0.791,0.0623,0.791,0.565,0,0.156,-3.933,0.0439,99.961,4,"moderato"
"998","Giant (with Rag'n'Bone Man)","Giant (with Rag'n'Bone Man)","Calvin Harris","2019-01-11",3.81973333333333,81,0.807,0.016,0.807,0.887,0.000503,0.0811,-4.311,0.0361,122.015,4,"allegro"
"100","DJ Got Us Fallin' In Love (feat. Pitbull)","Raymond v Raymond (Expanded Edition)","Usher","2010-03-30",3.68,80,0.663,0.0338,0.663,0.861,0,0.082,-3.398,0.109,119.963,4,"allegro"
"116","Titanium (feat. Sia)","Nothing but the Beat (Ultimate Edition)","David Guetta","2012-12-07",4.084,80,0.604,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,126.062,4,"allegro"
"247","Everybody Talks","Picture Show","Neon Trees","2012-01-01",2.95466666666667,80,0.471,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961,4,"allegro"
"285","Ni**as In Paris","Watch The Throne (Deluxe)","JAY-Z","2011-08-08",3.65555,80,0.789,0.127,0.789,0.858,0,0.349,-5.542,0.311,140.022,4,"allegro"
"347","We Can't Stop","Bangerz (Deluxe Version)","Miley Cyrus","2013-10-04",3.854,80,0.613,0.00882,0.613,0.622,0,0.37,-5.794,0.0334,80.003,4,"moderato"
"407","Rude","Don't Kill the Magic","MAGIC!","2014-06-25",3.74733333333333,80,0.774,0.0423,0.774,0.756,0,0.305,-4.995,0.0389,144.032,4,"allegro"
"408","Chandelier","1000 Forms Of Fear","Sia","2014-07-04",3.602,80,0.399,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5,"allegro"
"456","Steal My Girl","FOUR (Deluxe)","One Direction","2014-11-17",3.80221666666667,80,0.536,0.00433,0.536,0.768,0,0.114,-5.948,0.0347,77.217,4,"andante"
"475","Timber (feat. Ke$ha)","Global Warming: Meltdown (Deluxe Version)","Pitbull","2013-10-07",3.40266666666667,80,0.581,0.0295,0.581,0.963,0,0.139,-4.087,0.0981,129.992,4,"allegro"
"480","Bang Bang","Sweet Talker (Deluxe Version)","Jessie J","2014-10-14",3.3231,80,0.706,0.26,0.706,0.786,0,0.38,-3.417,0.091,150.028,4,"allegro"
"495","Little Do You Know","It's About Us","Alex & Sierra","2014-10-06",3.08666666666667,80,0.5,0.746,0.5,0.292,0,0.188,-8.554,0.0323,145.879,4,"allegro"
"507","Love Me Like You Do - From ""Fifty Shades Of Grey""","Delirium (Deluxe)","Ellie Goulding","2015-11-06",4.2089,80,0.262,0.247,0.262,0.606,0,0.125,-6.646,0.0484,189.857,4,"vivace"
"531","Don't","T R A P S O U L","Bryson Tiller","2015-10-02",3.30488333333333,80,0.765,0.222,0.765,0.356,0,0.0963,-5.556,0.196,97.001,4,"moderato"
"532","Like I'm Gonna Lose You (feat. John Legend)","Title (Deluxe)","Meghan Trainor","2015-01-09",3.75088333333333,80,0.63,0.4,0.63,0.53,0,0.177,-7.259,0.0434,108.038,3,"allegro"
"546","FourFiveSeconds","FourFiveSeconds","Rihanna","2015-01-24",3.1373,80,0.582,0.875,0.582,0.272,0,0.13,-5.662,0.0501,205.846,4,"vivace"
"561","Waiting For Love","Stories","Avicii","2015-10-02",3.84355,80,0.579,0.31,0.579,0.736,0,0.198,-3.863,0.0527,127.999,4,"allegro"
"566","Fight Song","Wildfire","Rachel Platten","2016-01-01",3.40021666666667,80,0.564,0.0549,0.564,0.714,0,0.155,-4.987,0.129,175.924,4,"vivace"
"579","One Last Time","My Everything (Deluxe)","Ariana Grande","2014-08-25",3.28776666666667,80,0.628,0.093,0.628,0.593,1.65e-06,0.096,-5.036,0.0323,125.026,4,"allegro"
"653","White Iverson","Stoney (Deluxe)","Post Malone","2016-12-09",4.27555,80,0.675,0.233,0.675,0.562,0,0.0816,-7.678,0.0352,130.098,4,"allegro"
"668","Needed Me","ANTI (Deluxe)","Rihanna","2016-01-28",3.19333333333333,80,0.671,0.11,0.671,0.314,0,0.0825,-8.091,0.244,110.898,4,"allegro"
"674","In the Name of Love","In the Name of Love","Martin Garrix","2016-07-29",3.26176666666667,80,0.501,0.109,0.501,0.519,0,0.454,-5.88,0.0409,133.99,4,"allegro"
"679","Into You","Dangerous Woman","Ariana Grande","2016-05-20",4.07421666666667,80,0.623,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4,"moderato"
"691","Don't","T R A P S O U L","Bryson Tiller","2015-10-02",3.30488333333333,80,0.765,0.222,0.765,0.356,0,0.0963,-5.556,0.196,97.001,4,"moderato"
"724","Galway Girl","÷ (Deluxe)","Ed Sheeran","2017-03-03",2.8471,80,0.624,0.0735,0.624,0.876,0,0.327,-3.374,0.1,99.943,4,"moderato"
"753","Bank Account","Issa Album","21 Savage","2017-09-23",3.67176666666667,80,0.884,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,75.016,4,"andante"
"754","LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar","2017-04-14",3.55666666666667,80,0.8,0.264,0.8,0.585,0,0.153,-7.343,0.0924,126.058,4,"allegro"
"789","Scars To Your Beautiful","Know-It-All (Deluxe)","Alessia Cara","2016-03-11",3.8371,80,0.319,0.0285,0.319,0.739,0,0.111,-5.74,0.272,194.169,4,"vivace"
"815","Mo Bamba","MUDBOY","Sheck Wes","2018-10-05",3.0651,80,0.729,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,4,"allegro"
"816","Nice For What","Scorpion","Drake","2018-06-29",3.51243333333333,80,0.585,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,4,"moderato"
"824","Mine","COSMIC","Bazzi","2018-04-12",2.1844,80,0.71,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,0.0722,142.929,4,"allegro"
"834","FEFE","DUMMY BOY","6ix9ine","2018-11-27",2.99006666666667,80,0.931,0.088,0.931,0.387,0,0.136,-9.127,0.412,125.978,4,"allegro"
"845","LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar","2017-04-14",3.55666666666667,80,0.8,0.264,0.8,0.585,0,0.153,-7.343,0.0924,126.058,4,"allegro"
"846","In My Blood","Shawn Mendes","Shawn Mendes","2018-05-25",3.52266666666667,80,0.622,0.0573,0.622,0.712,0,0.13,-7.321,0.066,140.025,4,"allegro"
"870","Te Boté - Remix","Te Boté (Remix)","Nio Garcia","2018-04-13",6.96533333333333,80,0.903,0.542,0.903,0.675,1.28e-05,0.0595,-3.445,0.214,96.507,4,"moderato"
"883","Nevermind","Nevermind","Dennis Lloyd","2017-06-30",2.61,80,0.6,0.159,0.6,0.688,1.29e-05,0.409,-8.339,0.201,99.977,4,"moderato"
"897","Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","2017-09-08",2.91333333333333,80,0.664,0.0337,0.664,0.708,0,0.0841,-4.154,0.0474,103.07,4,"moderato"
"929","Beautiful People (feat. Khalid)","No.6 Collaborations Project","Ed Sheeran","2019-07-12",3.29776666666667,80,0.64,0.124,0.64,0.647,0,0.0801,-8.114,0.186,92.979,4,"moderato"
"947","SOS (feat. Aloe Blacc)","TIM","Avicii","2019-06-06",2.62003333333333,80,0.802,0.272,0.802,0.645,0,0.119,-6.181,0.0715,100.001,4,"moderato"
"960","Slide Away","Slide Away","Miley Cyrus","2019-08-16",3.89423333333333,80,0.53,0.17,0.53,0.538,2.83e-06,0.248,-6.672,0.0335,148.051,4,"allegro"
"7","Dynamite","The Rokstarr Hits Collection","Taio Cruz","2010-01-01",3.37688333333333,79,0.751,0.00379,0.751,0.783,0,0.036,-3.724,0.0859,119.975,4,"allegro"
"12","Down","All Or Nothing","Jay Sean","2009-01-01",3.5351,79,0.657,0.0108,0.657,0.695,0,0.0822,-4.493,0.0321,65.997,4,"andante"
"77","Not Afraid","Recovery","Eminem","2010-06-18",4.13555,79,0.855,0.529,0.855,0.954,0,0.205,-1.19,0.264,114.635,5,"allegro"
"86","Replay","Replay","Iyaz","2009-08-18",3.03843333333333,79,0.706,0.173,0.706,0.751,0,0.168,-6.323,0.0708,91.031,4,"moderato"
"137","Dynamite","The Rokstarr Hits Collection","Taio Cruz","2010-01-01",3.37688333333333,79,0.751,0.00379,0.751,0.783,0,0.036,-3.724,0.0859,119.975,4,"allegro"
"175","Feel So Close - Radio Edit","18 Months","Calvin Harris","2012-10-29",3.44021666666667,79,0.707,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,127.937,4,"allegro"
"220","Radioactive","Night Visions","Imagine Dragons","2012-09-04",3.11355,79,0.448,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,4,"allegro"
"240","Feel So Close - Radio Edit","18 Months","Calvin Harris","2012-10-29",3.44021666666667,79,0.707,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,127.937,4,"allegro"
"244","Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg","2011-10-11",3.45555,79,0.715,0.0525,0.715,0.655,0,0.115,-6.425,0.137,95.078,4,"moderato"
"303","Radioactive","Night Visions","Imagine Dragons","2012-09-04",3.11355,79,0.448,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,4,"allegro"
"307","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]","Daft Punk","2013-04-19",4.14021666666667,79,0.794,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,4,"allegro"
"323","Little Talks","My Head Is An Animal","Of Monsters and Men","2012-01-01",4.44333333333333,79,0.457,0.0206,0.457,0.757,0,0.146,-5.177,0.032,102.961,4,"moderato"
"354","Best Song Ever","Midnight Memories (Deluxe)","One Direction","2013-11-25",3.3351,79,0.652,0.0227,0.652,0.877,0,0.0789,-2.986,0.0465,118.491,4,"allegro"
"431","Best Day Of My Life","Oh, What A Life","American Authors","2014-01-01",3.23733333333333,79,0.673,0.0591,0.673,0.902,0.000262,0.0558,-2.392,0.0346,100.012,4,"moderato"
"444","Blank Space","1989 (Deluxe)","Taylor Swift","2014-01-01",3.86376666666667,79,0.76,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,4,"moderato"
"459","A Sky Full of Stars","Ghost Stories","Coldplay","2014-05-19",4.47443333333333,79,0.551,0.00713,0.551,0.636,0.00203,0.217,-7.125,0.0281,124.996,4,"allegro"
"472","Shake It Off","1989 (Deluxe)","Taylor Swift","2014-01-01",3.65333333333333,79,0.647,0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,4,"vivace"
"477","Waves - Robin Schulz Radio Edit","Waves (Robin Schulz Radio Edit)","Mr. Probz","2014-02-07",3.46888333333333,79,0.829,0.00821,0.829,0.51,0.0014,0.0829,-9.334,0.0369,119.993,4,"allegro"
"504","What Do You Mean?","Purpose (Deluxe)","Justin Bieber","2015-11-13",3.428,79,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4,"allegro"
"506","Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]","The Weeknd","2014-12-23",4.20376666666667,79,0.659,0.385,0.659,0.381,0,0.0972,-5.922,0.0304,119.844,3,"allegro"
"511","Blank Space","1989 (Deluxe)","Taylor Swift","2014-01-01",3.86376666666667,79,0.76,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,4,"moderato"
"526","Sugar (feat. Francesco Yates)","Sugar","Robin Schulz","2015-09-25",3.65071666666667,79,0.636,0.0185,0.636,0.815,0,0.163,-5.098,0.0581,123.063,4,"allegro"
"536","Antidote","Rodeo (Expanded Edition)","Travis Scott","2015-09-04",4.37821666666667,79,0.713,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,131.05,4,"allegro"
"544","Want to Want Me","Everything Is 4","Jason Derulo","2015-05-29",3.46198333333333,79,0.775,0.00906,0.775,0.68,0,0.109,-5.508,0.0629,114.025,4,"allegro"
"575","Perfect","Made In The A.M. (Deluxe Edition)","One Direction","2015-11-13",3.83888333333333,79,0.647,0.0598,0.647,0.823,0,0.119,-5.231,0.0762,99.933,4,"moderato"
"585","Time of Our Lives","Globalization","Pitbull","2014-11-21",3.82266666666667,79,0.72,0.0921,0.72,0.802,0,0.694,-5.797,0.0582,124.043,4,"allegro"
"613","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","2016-05-06",3.93335,79,0.667,0.0123,0.667,0.83,0,0.191,-5.715,0.0749,113.03,4,"allegro"
"635","Hymn for the Weekend","A Head Full of Dreams","Coldplay","2015-12-04",4.31376666666667,79,0.49,0.255,0.49,0.743,7.21e-06,0.3,-5.155,0.0409,89.974,4,"moderato"
"655","Exchange","T R A P S O U L","Bryson Tiller","2015-10-02",3.24355,79,0.53,0.108,0.53,0.433,0,0.135,-10.598,0.185,160.14,4,"vivace"
"669","Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne","2016-06-24",4.05816666666667,79,0.502,0.255,0.502,0.786,0,0.65,-4.378,0.317,169.021,4,"vivace"
"680","History","Made In The A.M. (Deluxe Edition)","One Direction","2015-11-13",3.12376666666667,79,0.655,0.0352,0.655,0.699,0,0.064,-4.421,0.0493,86.704,4,"moderato"
"688","Work from Home (feat. Ty Dolla $ign)","7/27 (Deluxe)","Fifth Harmony","2016-05-27",3.57466666666667,79,0.803,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,105.017,4,"moderato"
"719","Castle on the Hill","÷ (Deluxe)","Ed Sheeran","2017-03-03",4.35255,79,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4,"allegro"
"723","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","2017-02-23",3.6068,79,0.696,0.075,0.696,0.817,0,0.187,-3.862,0.109,98.064,4,"moderato"
"728","It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo","2017-02-16",3.67966666666667,79,0.64,0.119,0.64,0.533,0,0.0864,-6.596,0.0706,99.968,4,"moderato"
"772","24K Magic","24K Magic","Bruno Mars","2016-11-17",3.76638333333333,79,0.818,0.034,0.818,0.803,0,0.153,-4.282,0.0797,106.97,4,"moderato"
"774","Love Galore (feat. Travis Scott)","Ctrl","SZA","2017-06-09",4.58466666666667,79,0.795,0.111,0.795,0.594,0,0.162,-6.2,0.0747,135.002,4,"allegro"
"777","Losin Control","There's Really A Wolf","Russ","2017-05-05",3.95843333333333,79,0.759,0.515,0.759,0.245,0.000154,0.102,-6.545,0.138,96.992,4,"moderato"
"778","do re mi","digital druglord","blackbear","2017-04-21",3.53378333333333,79,0.745,0.00522,0.745,0.593,5.25e-06,0.123,-6.35,0.0526,111.002,3,"allegro"
"787","Side To Side","Dangerous Woman","Ariana Grande","2016-05-20",3.76933333333333,79,0.65,0.0528,0.65,0.736,0,0.235,-5.84,0.229,159.173,4,"vivace"
"794","Malibu","Younger Now","Miley Cyrus","2017-09-29",3.8651,79,0.573,0.0767,0.573,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,4,"allegro"
"924","Talk (feat. Disclosure)","Free Spirit","Khalid","2019-04-05",3.29288333333333,79,0.901,0.051,0.901,0.4,0,0.0599,-8.575,0.126,135.984,4,"allegro"
"943","Otro Trago","Sueños","Sech","2019-04-19",3.76555,79,0.746,0.136,0.746,0.7,0.000159,0.11,-4.669,0.341,176.044,4,"vivace"
"954","The London (feat. J. Cole & Travis Scott)","The London (feat. J. Cole & Travis Scott)","Young Thug","2019-05-23",3.3351,79,0.796,0.0247,0.796,0.586,0,0.132,-6.946,0.147,97.981,4,"moderato"
"962","Nights Like This (feat. Ty Dolla $ign)","While We Wait","Kehlani","2019-02-22",3.36311666666667,79,0.61,0.367,0.61,0.725,0,0.154,-5.131,0.15,146.163,4,"allegro"
"969","Motivation","Motivation","Normani","2019-08-16",3.23061666666667,79,0.599,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,4,"vivace"
"993","Location (feat. Burna Boy)","PSYCHODRAMA","Dave","2019-03-08",4.02155,79,0.812,0.271,0.812,0.496,0,0.0955,-5.969,0.297,109.979,4,"allegro"
"11","Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars","2010-10-05",3.67888333333333,78,0.637,0.0151,0.637,0.843,0,0.0876,-5.413,0.0432,109.012,4,"allegro"
"107","Raise Your Glass","Raise Your Glass","P!nk","2010-10-05",3.38266666666667,78,0.7,0.0048,0.7,0.709,0,0.0289,-5.006,0.0839,122.019,4,"allegro"
"113","Midnight City","Hurry up, We're Dreaming","M83","2011-10-17",4.066,78,0.507,0.0182,0.507,0.729,1.4e-06,0.0658,-5.399,0.0393,105.013,4,"moderato"
"202","Call Me Maybe","Kiss","Carly Rae Jepsen","2012-01-01",3.22333333333333,78,0.783,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,4,"allegro"
"203","We Are Young (feat. Janelle Monáe)","Some Nights","fun.","2012-02-14",4.1771,78,0.378,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4,"vivace"
"219","Let Her Go","All The Little Lights","Passenger","2012-11-05",4.21443333333333,78,0.509,0.385,0.509,0.538,0,0.104,-7.335,0.0572,75.089,4,"andante"
"297","Whistle","Wild Ones","Flo Rida","2012-06-22",3.74421666666667,78,0.747,0.0208,0.747,0.937,0,0.29,-5.746,0.0453,103.976,4,"moderato"
"331","Let Her Go","All The Little Lights","Passenger","2012-11-05",4.21443333333333,78,0.509,0.385,0.509,0.538,0,0.104,-7.335,0.0572,75.089,4,"andante"
"339","I Knew You Were Trouble.","Red (Big Machine Radio Release Special)","Taylor Swift","2012-10-22",3.662,78,0.622,0.00454,0.622,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,4,"andante"
"358","Treasure","Unorthodox Jukebox","Bruno Mars","2012-12-07",2.976,78,0.874,0.0412,0.874,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,4,"allegro"
"374","Mirrors","The 20/20 Experience (Deluxe Version)","Justin Timberlake","2013-03-15",8.0691,78,0.574,0.234,0.574,0.512,0,0.0946,-6.664,0.0503,76.899,4,"andante"
"385","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky","2012-10-24",3.89643333333333,78,0.853,0.0239,0.853,0.693,0,0.11,-6.87,0.275,95.967,4,"moderato"
"399","Why'd You Only Call Me When You're High?","AM","Arctic Monkeys","2013-09-09",2.68538333333333,78,0.691,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,4,"moderato"
"421","Hey Brother","True","Avicii","2013-09-13",4.25155,78,0.545,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,0.0436,125.014,4,"allegro"
"441","Me And My Broken Heart","Let The Road","Rixton","2014-01-01",3.22888333333333,78,0.545,0.00489,0.545,0.783,0,0.132,-4.261,0.0345,174.084,4,"vivace"
"521","Chill Bill (feat. J. Davi$ & Spooks)","Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone","2016-06-17",2.95306666666667,78,0.886,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4,"allegro"
"525","How Deep Is Your Love","How Deep Is Your Love","Calvin Harris","2015-07-17",3.544,78,0.738,0.0389,0.738,0.868,0.00171,0.388,-4.373,0.0731,122.003,4,"allegro"
"527","Hotline Bling","Views","Drake","2016-05-06",4.4511,78,0.891,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,134.966,4,"allegro"
"538","Cheerleader - Felix Jaehn Remix Radio Edit","Me 4 U","OMI","2015-10-16",3.00941666666667,78,0.782,0.166,0.782,0.685,1.18e-05,0.16,-6.237,0.0309,118.016,4,"allegro"
"547","Firestone","Cloud Nine","Kygo","2016-05-13",4.52733333333333,78,0.704,0.393,0.704,0.634,3.17e-05,0.0952,-7.374,0.0428,113.927,4,"allegro"
"610","Work","ANTI (Deluxe)","Rihanna","2016-01-28",3.65533333333333,78,0.725,0.0752,0.725,0.534,0,0.0919,-6.238,0.0946,91.974,4,"moderato"
"651","Unsteady","VHS","X Ambassadors","2015-06-30",3.22576666666667,78,0.389,0.178,0.389,0.665,0.000732,0.116,-6.169,0.0644,117.055,4,"allegro"
"661","My House","My House","Flo Rida","2015-04-07",3.20316666666667,78,0.688,0.0215,0.688,0.702,0,0.128,-4.792,0.0499,94.006,4,"moderato"
