"","name","album","artist","release_date","length","popularity","danceability","acousticness","danceability.1","energy","instrumentalness","liveness","loudness","speechiness","tempo","time_signature","tempo_fs"
"920","Sweet but Psycho","Sweet but Psycho","Ava Max","2018-08-17",3.12393333333333,86,0.719,0.0691,0.719,0.704,0,0.166,-4.724,0.0476,133.002,4,"allegro"
"932","Ransom","We Love You Tecca","Lil Tecca","2019-08-30",2.18733333333333,86,0.745,0.0204,0.745,0.642,0,0.0658,-6.257,0.287,179.974,4,"vivace"
"948","Better Now","beerbongs & bentleys","Post Malone","2018-04-27",3.85443333333333,86,0.68,0.331,0.68,0.578,0,0.135,-5.804,0.04,145.038,4,"allegro"
"967","10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)","Dan + Shay","2019-10-04",2.79488333333333,86,0.654,0.153,0.654,0.63,0,0.111,-4.644,0.0259,89.991,4,"moderato"
"143","Pumped Up Kicks","Torches","Foster The People","2011-05-23",3.99333333333333,85,0.733,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4,"allegro"
"251","Sweater Weather","I Love You.","The Neighbourhood","2013-04-19",4.00666666666667,85,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,"allegro"
"308","Wake Me Up","True","Avicii","2013-09-13",4.12376666666667,85,0.532,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4,"allegro"
"334","Sweater Weather","I Love You.","The Neighbourhood","2013-04-19",4.00666666666667,85,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,"allegro"
"484","Photograph","x (Deluxe Edition)","Ed Sheeran","2014-06-21",4.31643333333333,85,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,"moderato"
"513","The Hills","Beauty Behind The Madness","The Weeknd","2015-08-28",4.03755,85,0.585,0.0671,0.585,0.564,0,0.135,-7.063,0.0515,113.003,4,"allegro"
"609","Stressed Out","Blurryface","Twenty One Pilots","2015-05-15",3.37221666666667,85,0.734,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4,"vivace"
"713","XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert","2017-08-25",3.0451,85,0.732,0.00264,0.732,0.75,0,0.109,-6.366,0.231,155.096,4,"allegro"
"801","God's Plan","Scorpion","Drake","2018-06-29",3.31621666666667,85,0.754,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,4,"andante"
"813","One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris","2018-04-06",3.58076666666667,85,0.791,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4,"allegro"
"837","I Like Me Better","I met you when I was 18. (the playlist)","Lauv","2018-05-31",3.2906,85,0.752,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4,"moderato"
"901","Old Town Road - Remix","7 EP","Lil Nas X","2019-06-21",2.61776666666667,85,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,"allegro"
"919","Sucker","Happiness Begins","Jonas Brothers","2019-06-07",3.0171,85,0.842,0.0427,0.842,0.734,0,0.106,-5.065,0.0588,137.958,4,"allegro"
"921","Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith","2019-01-11",2.85048333333333,85,0.741,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4,"moderato"
"930","High Hopes","Pray for the Wicked","Panic! At The Disco","2018-06-22",3.18243333333333,85,0.579,0.193,0.579,0.904,0,0.064,-2.729,0.0618,82.014,4,"moderato"
"945","Piece Of Your Heart","Piece Of Your Heart","MEDUZA","2019-02-01",2.54855,85,0.677,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,124.08,4,"allegro"
"950","Let Me Down Slowly","Narrated For You","Alec Benjamin","2018-11-16",2.82255,85,0.652,0.74,0.652,0.557,0,0.124,-5.714,0.0318,150.073,4,"allegro"
"968","Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS","2019-04-12",3.82955,85,0.645,0.0923,0.645,0.862,0,0.192,-4.757,0.0965,119.991,4,"allegro"
"988","Higher Love","Higher Love","Kygo","2019-06-28",3.80445,85,0.693,0.0154,0.693,0.678,6.05e-06,0.101,-7.159,0.0324,103.952,4,"moderato"
"992","Bruises","Divinely Uninspired To A Hellish Extent","Lewis Capaldi","2019-05-17",3.67486666666667,85,0.736,0.946,0.736,0.308,0,0.186,-7.83,0.0677,111.202,4,"allegro"
"4","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train","2010-12-01",3.61288333333333,84,0.673,0.185,0.673,0.886,0,0.0826,-4.44,0.0431,97.012,4,"moderato"
"114","Tongue Tied","Never Trust a Happy Song","Grouplove","2011-09-02",3.63355,84,0.56,0.00847,0.56,0.936,0,0.161,-5.835,0.0439,112.96,4,"allegro"
"194","What Makes You Beautiful","Up All Night","One Direction","2012-05-25",3.3331,84,0.726,0.009,0.726,0.787,0,0.0596,-2.494,0.0737,124.99,4,"allegro"
"209","What Makes You Beautiful","Up All Night","One Direction","2012-05-25",3.3331,84,0.726,0.009,0.726,0.787,0,0.0596,-2.494,0.0737,124.99,4,"allegro"
"223","Can't Hold Us - feat. Ray Dalton","The Heist","Macklemore & Ryan Lewis","2012-10-09",4.3057,84,0.641,0.0291,0.641,0.922,0,0.0862,-4.457,0.0786,146.078,4,"allegro"
"338","Can't Hold Us - feat. Ray Dalton","The Heist","Macklemore & Ryan Lewis","2012-10-09",4.3057,84,0.641,0.0291,0.641,0.922,0,0.0862,-4.457,0.0786,146.078,4,"allegro"
"357","Do I Wanna Know?","AM","Arctic Monkeys","2013-09-09",4.5399,84,0.548,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,85.03,4,"moderato"
"433","Story of My Life","Midnight Memories (Deluxe)","One Direction","2013-11-25",4.09155,84,0.6,0.225,0.6,0.663,0,0.119,-5.802,0.0477,121.07,4,"allegro"
"487","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran","2014-06-21",4.69266666666667,84,0.781,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,4,"andante"
"502","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran","2014-06-21",4.69266666666667,84,0.781,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,4,"andante"
"704","Something Just Like This","Memories...Do Not Open","The Chainsmokers","2017-04-07",4.11933333333333,84,0.617,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4,"moderato"
"711","Congratulations","Stoney (Deluxe)","Post Malone","2016-12-09",3.67155,84,0.63,0.215,0.63,0.804,0,0.253,-4.183,0.0363,123.146,4,"allegro"
"768","I Fall Apart","Stoney (Deluxe)","Post Malone","2016-12-09",3.72243333333333,84,0.556,0.0689,0.556,0.538,0,0.196,-5.408,0.0382,143.95,4,"allegro"
"795","Dusk Till Dawn - Radio Edit","Dusk Till Dawn (Radio Edit)","ZAYN","2017-09-07",3.98333333333333,84,0.258,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0.039,180.043,4,"vivace"
"805","Havana (feat. Young Thug)","Camila","Camila Cabello","2018-01-12",3.62176666666667,84,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4,"moderato"
"807","The Middle","The Middle","Zedd","2018-01-23",3.07886666666667,84,0.753,0.171,0.753,0.657,0,0.112,-3.061,0.0449,107.01,4,"moderato"
"809","I Like It","Invasion of Privacy","Cardi B","2018-04-06",4.22316666666667,84,0.816,0.099,0.816,0.726,0,0.372,-3.998,0.129,136.048,4,"allegro"
"825","I Fall Apart","Stoney (Deluxe)","Post Malone","2016-12-09",3.72243333333333,84,0.556,0.0689,0.556,0.538,0,0.196,-5.408,0.0382,143.95,4,"allegro"
"867","Call Out My Name","My Dear Melancholy,","The Weeknd","2018-03-30",3.80621666666667,84,0.461,0.17,0.461,0.593,0,0.307,-4.954,0.0356,134.17,3,"allegro"
"884","In My Mind","In My Mind","Dynoro","2018-06-08",3.076,84,0.694,0.176,0.694,0.77,1.1e-05,0.118,-5.335,0.149,125.905,4,"allegro"
"905","Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone","2019-09-06",2.626,84,0.755,0.533,0.755,0.522,0,0.0685,-4.368,0.0575,89.96,4,"moderato"
"907","Without Me","Without Me","Halsey","2018-10-04",3.361,84,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4,"allegro"
"915","Con Calma","Con Calma","Daddy Yankee","2019-01-24",3.22043333333333,84,0.737,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4,"moderato"
"926","MIDDLE CHILD","MIDDLE CHILD","J. Cole","2019-01-23",3.55988333333333,84,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,"allegro"
"937","Callaita","Callaita","Bad Bunny","2019-05-31",4.17555,84,0.61,0.6,0.61,0.624,2.12e-06,0.243,-4.773,0.309,176.169,4,"vivace"
"940","Bohemian Rhapsody - 2011 Mix","A Night At The Opera (2011 Remaster)","Queen","1975-11-21",5.90533333333333,84,0.414,0.271,0.414,0.404,0,0.3,-9.928,0.0499,71.105,4,"andante"
"946","China","China","Anuel AA","2019-07-19",5.02856666666667,84,0.786,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,105.027,4,"moderato"
"222","When I Was Your Man","Unorthodox Jukebox","Bruno Mars","2012-12-07",3.56376666666667,83,0.612,0.932,0.612,0.28,0,0.088,-8.648,0.0434,72.795,4,"andante"
"375","When I Was Your Man","Unorthodox Jukebox","Bruno Mars","2012-12-07",3.56376666666667,83,0.612,0.932,0.612,0.28,0,0.088,-8.648,0.0434,72.795,4,"andante"
"406","Stay With Me","In The Lonely Hour","Sam Smith","2014-05-26",2.87871666666667,83,0.418,0.588,0.418,0.42,6.39e-05,0.11,-6.444,0.0414,84.094,4,"moderato"
"481","I'm Not The Only One","In The Lonely Hour","Sam Smith","2014-05-26",3.9886,83,0.677,0.529,0.677,0.485,2.04e-05,0.0766,-5.795,0.0361,82.001,4,"moderato"
"501","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson","2015-01-12",4.49443333333333,83,0.856,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4,"allegro"
"503","See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa","2015-03-10",3.82541666666667,83,0.689,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4,"moderato"
"602","One Dance","Views","Drake","2016-05-06",2.89976666666667,83,0.792,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,103.967,4,"moderato"
"660","Ride","Blurryface","Twenty One Pilots","2015-05-15",3.5751,83,0.645,0.00835,0.645,0.713,0,0.113,-5.355,0.0393,74.989,4,"andante"
"685","Treat You Better","Illuminate","Shawn Mendes","2017-04-20",3.13288333333333,83,0.444,0.106,0.444,0.819,0,0.107,-4.078,0.341,82.695,4,"moderato"
"741","Happier","÷ (Deluxe)","Ed Sheeran","2017-03-03",3.45866666666667,83,0.522,0.536,0.522,0.385,0,0.135,-7.355,0.0288,89.792,4,"moderato"
"755","Young Dumb & Broke","American Teen","Khalid","2017-04-27",3.37576666666667,83,0.798,0.199,0.798,0.539,1.66e-05,0.165,-6.351,0.0421,136.949,4,"allegro"
"784","Treat You Better","Illuminate","Shawn Mendes","2017-04-20",3.13288333333333,83,0.444,0.106,0.444,0.819,0,0.107,-4.078,0.341,82.695,4,"moderato"
"800","Sign of the Times","Harry Styles","Harry Styles","2017-05-12",5.67843333333333,83,0.516,0.0275,0.516,0.595,0,0.109,-4.63,0.0313,119.972,4,"allegro"
"808","FRIENDS","FRIENDS","Marshmello","2018-02-09",3.377,83,0.626,0.205,0.626,0.88,0,0.128,-2.384,0.0504,95.079,4,"moderato"
"811","no tears left to cry","Sweetener","Ariana Grande","2018-08-17",3.432,83,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4,"allegro"
"832","Let You Down","Perception","NF","2017-10-06",3.53533333333333,83,0.662,0.312,0.662,0.714,0,0.179,-5.68,0.121,147.997,4,"allegro"
"862","Natural","Origins (Deluxe)","Imagine Dragons","2018-11-09",3.15776666666667,83,0.704,0.217,0.704,0.611,0,0.0812,-6.112,0.0409,100,4,"moderato"
"891","2002","Speak Your Mind (Deluxe)","Anne-Marie","2018-04-27",3.11643333333333,83,0.697,0.0372,0.697,0.683,0,0.137,-2.881,0.117,96.133,4,"moderato"
