,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,82,0.749,0.241,0.749,0.925,0.0,0.52,-5.034,0.227,86.989,4
1,TiK ToK,Animal (Expanded Edition),Kesha,2010-01-01,199693,81,0.755,0.0991,0.755,0.837,0.0,0.289,-2.718,0.142,120.028,4
2,Bad Romance,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,294573,81,0.696,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,4
3,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,84,0.673,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
4,Don't Stop Believin' (Glee Cast Version),"Glee: The Music, Volume 1",Glee Cast,2009-11-02,232000,67,0.473,0.038,0.473,0.604,0.0,0.103,-4.034,0.0337,123.857,4
5,Airplanes (feat. Hayley Williams),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,180480,76,0.66,0.11,0.66,0.867,0.0,0.0368,-4.285,0.116,93.033,4
6,Dynamite,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,202613,79,0.751,0.00379,0.751,0.783,0.0,0.036,-3.724,0.0859,119.975,4
7,Misery,Hands All Over (Revised International Standard version),Maroon 5,2010,216200,65,0.703,0.000315,0.703,0.81,0.0,0.216,-4.874,0.0424,102.978,4
8,California Gurls,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,234653,75,0.791,0.00446,0.791,0.754,0.0,0.163,-3.729,0.0569,125.014,4
9,All Time Low,The Wanted,The Wanted,2010-01-01,205200,56,0.689,0.352,0.689,0.615,0.0,0.0789,-5.022,0.0563,134.036,4
10,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220733,78,0.637,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,109.012,4
11,Down,All Or Nothing,Jay Sean,2009-01-01,212106,79,0.657,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,65.997,4
12,Dancing On My Own,Body Talk pt. 1,Robyn,2010-06-11,288670,51,0.687,0.0743,0.687,0.865,0.225,0.0966,-4.663,0.0349,117.015,4
13,Man Down,Loud,Rihanna,2010-11-16,267000,70,0.47,0.0436,0.47,0.904,0.0,0.0491,-4.024,0.177,155.788,4
14,Alors on danse,Cheese,Stromae,2010-01-01,206066,77,0.791,0.0994,0.791,0.59,0.00203,0.065,-9.206,0.0793,119.951,4
15,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,72,0.523,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,4
16,No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010-09-06,263773,60,0.76,0.00544,0.76,0.595,0.0,0.241,-6.366,0.0391,131.497,4
17,What You Know,Tourist History,Two Door Cinema Club,2010-02-07,189693,59,0.55,0.000665,0.55,0.753,7.74e-06,0.0921,-4.003,0.0407,139.048,4
18,Danza Kuduro (feat. Don Omar),Emigrante Del Mundo,Lucenzo,2011-09-30,213986,57,0.622,0.00713,0.622,0.942,0.0,0.0715,-6.365,0.112,130.003,4
19,Today Was A Fairytale,Today Was A Fairytale,Taylor Swift,2011-02-15,242480,54,0.491,0.0307,0.491,0.703,5.72e-06,0.167,-4.5,0.0319,157.988,4
20,Teach Me How to Dougie,The Kickback,Cali Swag District,2011-07-12,237480,67,0.846,0.2,0.846,0.438,9.43e-05,0.0939,-4.981,0.141,85.013,4
21,King of Anything,Kaleidoscope Heart,Sara Bareilles,2010-09-07,207493,64,0.676,0.461,0.676,0.762,0.0,0.0574,-4.172,0.0351,119.003,4
22,If I Die Young,The Band Perry,The Band Perry,2010,222773,66,0.606,0.348,0.606,0.497,0.0,0.275,-6.611,0.0277,130.739,4
23,Right Above It,I Am Not A Human Being,Lil Wayne,2010-01-01,271946,70,0.376,0.0435,0.376,0.841,0.0,0.578,-4.348,0.356,76.052,4
24,Hey Daddy (Daddy's Home),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,224093,62,0.59,0.000176,0.59,0.698,0.0,0.107,-4.262,0.0286,95.975,4
