,A_major,A_minor,A#_major,A#_minor,B_major,B_minor,C_major,C_minor,C#_major,C#_minor,D_major,D_minor,D#_major,E_major,E_minor,F_major,F_minor,F#_major,F#_minor,G_major,G_minor,G#_major,G#_minor,D#_minor,Total,Max,Max_key
The Doors,21.0,17.0,3.0,0.0,1.0,13.0,25.0,5.0,3.0,0.0,33.0,5.0,2.0,11.0,25.0,11.0,2.0,2.0,2.0,13.0,0.0,0.0,1.0,1.0,196.0,33.0,D_major
JAY-Z,28.0,19.0,15.0,49.0,20.0,38.0,32.0,10.0,76.0,35.0,44.0,12.0,6.0,13.0,32.0,18.0,19.0,34.0,35.0,53.0,10.0,26.0,23.0,6.0,653.0,76.0,C#_major
Madonna,18.0,30.0,9.0,37.0,31.0,33.0,45.0,20.0,19.0,5.0,21.0,8.0,5.0,13.0,15.0,21.0,17.0,10.0,34.0,66.0,20.0,15.0,16.0,6.0,514.0,66.0,G_major
Pink Floyd,42.0,11.0,5.0,0.0,6.0,23.0,51.0,10.0,11.0,5.0,36.0,6.0,6.0,6.0,30.0,13.0,4.0,0.0,4.0,66.0,14.0,3.0,4.0,1.0,357.0,66.0,G_major
Weezer,22.0,0.0,9.0,7.0,16.0,14.0,23.0,1.0,21.0,7.0,28.0,1.0,8.0,14.0,12.0,3.0,6.0,40.0,2.0,15.0,0.0,44.0,4.0,10.0,307.0,44.0,G#_major
Snow Patrol,37.0,18.0,7.0,3.0,9.0,10.0,34.0,0.0,9.0,1.0,45.0,0.0,13.0,12.0,3.0,24.0,0.0,1.0,2.0,31.0,1.0,4.0,0.0,2.0,266.0,45.0,D_major
blink©\182,43.0,1.0,0.0,0.0,37.0,6.0,49.0,2.0,0.0,6.0,32.0,2.0,0.0,19.0,0.0,6.0,3.0,3.0,2.0,20.0,0.0,1.0,1.0,0.0,233.0,49.0,C_major
The White Stripes,46.0,22.0,4.0,4.0,16.0,12.0,49.0,4.0,8.0,5.0,39.0,0.0,6.0,14.0,11.0,9.0,2.0,6.0,4.0,32.0,3.0,4.0,3.0,3.0,306.0,49.0,C_major
The Cure,81.0,69.0,10.0,9.0,19.0,49.0,61.0,20.0,17.0,14.0,90.0,15.0,7.0,9.0,43.0,33.0,9.0,11.0,32.0,44.0,12.0,10.0,6.0,0.0,670.0,90.0,D_major
Led Zeppelin,22.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,31.0,1.0,0.0,2.0,6.0,3.0,5.0,3.0,2.0,18.0,2.0,0.0,0.0,0.0,108.0,31.0,D_major
Beck,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,2.0,A#_minor
