,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,83,0.856,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4
1,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,84,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
2,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,229525,83,0.689,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4
3,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
4,Lean On (feat. MØ & DJ Snake),Peace Is The Mission : Extended,Major Lazer,2015-11-27,176561,77,0.723,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4
5,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,252226,79,0.659,0.385,0.659,0.381,0.0,0.0972,-5.922,0.0304,119.844,3
6,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,80,0.262,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,189.857,4
7,Trap Queen,Fetty Wap (Deluxe),Fetty Wap,2015-09-25,222093,69,0.746,0.0244,0.746,0.873,0.0,0.354,-3.803,0.128,148.075,4
8,That's How You Know (feat. Kid Ink & Bebe Rexha),That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,2015-07-17,186443,61,0.769,0.44,0.769,0.437,0.0,0.116,-6.406,0.0363,103.921,4
9,Try Me (feat. Jennifer Lopez and Matoma),Everything Is 4,Jason Derulo,2015-05-29,200240,62,0.579,0.0157,0.579,0.68,0.0,0.0699,-5.634,0.076,100.033,4
10,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,231826,79,0.76,0.103,0.76,0.703,0.0,0.0913,-5.412,0.054,95.997,4
11,All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,2015-10-21,229746,75,0.689,0.119,0.689,0.521,8.41e-05,0.108,-5.845,0.132,95.055,4
12,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,85,0.585,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,4
13,Good For You,Good For You,Selena Gomez,2015-08-07,221560,0,0.6,0.154,0.6,0.676,0.0,0.0741,-6.447,0.0652,88.928,4
14,Sugar,V,Maroon 5,2014-09-02,235493,81,0.748,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
15,Here,Four Pink Walls,Alessia Cara,2015-08-28,199453,0,0.379,0.0804,0.379,0.799,0.0,0.0793,-4.031,0.163,120.892,4
16,On My Mind,Delirium (Deluxe),Ellie Goulding,2015-11-06,213445,0,0.699,0.264,0.699,0.688,4.11e-06,0.0863,-6.607,0.0522,154.943,4
17,Geronimo,Bombs Away,Sheppard,2015-01-12,218227,67,0.705,0.456,0.705,0.78,0.00152,0.115,-6.267,0.0805,142.028,4
18,Same Old Love,Revival (Deluxe),Selena Gomez,2015-10-09,229080,68,0.672,0.0223,0.672,0.593,0.0,0.214,-4.01,0.0304,98.02,4
19,Ghost Town,Ghost Town,Adam Lambert,2015-04-21,208330,51,0.703,0.186,0.703,0.736,1.92e-05,0.174,-5.709,0.046,119.955,4
20,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,177184,78,0.886,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4
21,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.654,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
22,Don't Let Me Down (feat. Daya),Don't Let Me Down (feat. Daya),The Chainsmokers,2016-02-05,208373,81,0.532,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,4
23,Never Forget You,So Good,Zara Larsson,2017-03-17,213427,76,0.583,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,4
24,How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,2015-07-17,212640,78,0.738,0.0389,0.738,0.868,0.00171,0.388,-4.373,0.0731,122.003,4
25,Sugar (feat. Francesco Yates),Sugar,Robin Schulz,2015-09-25,219043,79,0.636,0.0185,0.636,0.815,0.0,0.163,-5.098,0.0581,123.063,4
26,Hotline Bling,Views,Drake,2016-05-06,267066,78,0.891,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,134.966,4
