,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,3,0.609,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
1,One Dance,Views,Drake,2016-05-06,173986,83,0.792,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,103.967,4
2,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016-04-15,215413,71,0.632,0.0114,0.632,0.701,0.0,0.108,-5.921,0.146,162.958,4
3,Closer,Closer,The Chainsmokers,2016-07-29,244960,86,0.748,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4
4,Hello,Hello,Adele,2015-10-23,295502,64,0.471,0.329,0.471,0.431,0.0,0.0854,-6.129,0.0342,157.98,4
5,Panda,New English,Desiigner,2016-06-26,246761,75,0.576,0.028,0.576,0.766,1.68e-06,0.366,-4.943,0.449,144.833,4
6,Papercuts (feat. Vera Blue),Papercuts (feat. Vera Blue),Illy,2016-07-08,255889,56,0.369,0.161,0.369,0.618,0.0,0.257,-6.304,0.249,191.863,4
7,Cheap Thrills (feat. Sean Paul),Cheap Thrills (feat. Sean Paul),Sia,2016-02-11,224813,70,0.592,0.0561,0.592,0.8,2.01e-06,0.0775,-4.931,0.215,89.972,4
8,Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,85,0.734,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4
9,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,78,0.725,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4
10,Say It,Skin,Flume,2016-05-27,262521,58,0.581,0.0731,0.581,0.531,3.27e-06,0.0616,-6.829,0.0322,75.255,4
11,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.654,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
12,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,79,0.667,0.0123,0.667,0.83,0.0,0.191,-5.715,0.0749,113.03,4
13,1955,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,2016-02-19,239280,66,0.766,0.719,0.766,0.5,5.91e-06,0.304,-7.558,0.0695,84.044,4
14,Middle,Encore,DJ Snake,2016-08-05,220573,2,0.611,0.0199,0.611,0.7,0.0,0.0549,-5.331,0.0436,104.981,4
15,Once In a While,Once In a While,Timeflies,2016-03-18,215160,64,0.786,0.00758,0.786,0.687,0.0,0.619,-5.914,0.141,105.021,4
16,All Time Low,The Human Condition,Jon Bellion,2016-06-10,217603,73,0.617,0.0584,0.617,0.567,0.0,0.0933,-4.188,0.0828,90.246,4
17,Hear Me Now,Hear Me Now,Alok,2016-01-01,192846,53,0.788,0.537,0.788,0.43,0.00261,0.0936,-7.757,0.0419,121.996,4
18,7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,81,0.765,0.287,0.765,0.473,0.0,0.391,-5.829,0.0514,119.992,4
19,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016-04-29,222160,81,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4
20,Lush Life,Lush Life,Zara Larsson,2015-06-09,201122,1,0.694,0.133,0.694,0.712,0.0,0.211,-3.923,0.046,98.022,4
21,Light It Up (feat. Nyla & Fuse ODG) - Remix,Peace Is The Mission: Extended,Major Lazer,2015-06-01,166138,3,0.746,0.0375,0.746,0.877,0.000833,0.233,-3.782,0.0666,107.985,4
22,Fast Car,Fast Car,Jonas Blue,2015-12-04,212424,3,0.459,0.453,0.459,0.587,0.0,0.307,-6.983,0.0785,113.901,4
23,Don't Let Me Down (feat. Daya),Don't Let Me Down (feat. Daya),The Chainsmokers,2016-02-05,208373,81,0.532,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,4
24,Sorry,Lemonade,Beyoncé,2016-04-23,232560,73,0.775,0.00175,0.775,0.598,4.44e-06,0.253,-7.274,0.0535,129.988,4
25,No Money,No Money,Galantis,2016-04-01,189126,73,0.671,0.0282,0.671,0.916,0.00762,0.24,-4.014,0.0397,126.01,4
26,Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,185351,1,0.608,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4
27,PILLOWTALK,PILLOWTALK,ZAYN,2016-08-22,203686,64,0.588,0.104,0.588,0.702,0.0,0.089,-4.271,0.0496,124.909,4
28,This Girl - Kungs Vs. Cookin' On 3 Burners,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016-02-19,195561,0,0.79,0.0807,0.79,0.705,4.81e-05,0.251,-4.684,0.0383,121.969,4
29,Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Tinie Tempah,2016-02-26,196000,67,0.916,0.37,0.916,0.804,1.18e-05,0.0812,-3.406,0.049,120.028,4
30,"i hate u, i love u (feat. olivia o'brien)",us,gnash,2016-03-25,251033,81,0.492,0.687,0.492,0.275,0.0,0.101,-13.4,0.3,92.6,4
31,"Me, Myself & I",When It's Dark Out,G-Eazy,2015-12-04,251466,77,0.757,0.0186,0.757,0.672,0.0,0.158,-6.524,0.0955,111.996,4
32,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,3,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
33,Perfect Strangers,Perfect Strangers,Jonas Blue,2016-06-03,196613,2,0.742,0.372,0.742,0.819,0.0,0.277,-5.307,0.0487,117.986,4
34,Hymn for the Weekend,A Head Full of Dreams,Coldplay,2015-12-04,258826,79,0.49,0.255,0.49,0.743,7.21e-06,0.3,-5.155,0.0409,89.974,4
35,All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,2015-10-21,229746,75,0.689,0.119,0.689,0.521,8.41e-05,0.108,-5.845,0.132,95.055,4
36,Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,82,0.732,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4
37,Never Forget You,Never Forget You,MNEK,2015-07-22,213427,50,0.583,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,4
38,Tears (feat. Louisa Johnson),Tears (feat. Louisa Johnson),Clean Bandit,2016-05-27,225914,65,0.605,0.0431,0.605,0.77,0.0,0.159,-3.645,0.0446,130.037,4
39,Stay (feat. Maty Noyes),Stay (feat. Maty Noyes),Kygo,2015-12-04,239465,67,0.648,0.0444,0.648,0.736,0.000137,0.171,-7.948,0.0385,103.027,4
40,Roses (feat. ROZES),Roses (feat. ROZES),The Chainsmokers,2015-06-16,226738,76,0.713,0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,4
41,Don't Mind,Don't Mind,Kent Jones,2016-04-25,198236,68,0.464,0.0235,0.464,0.771,0.0,0.063,-4.503,0.336,158.777,4
42,Adventure of a Lifetime,A Head Full of Dreams,Coldplay,2015-12-04,263786,76,0.638,0.00205,0.638,0.924,0.000173,0.149,-3.887,0.0359,111.995,4
43,Tiimmy Turner,Tiimmy Turner,Desiigner,2016-07-22,239853,72,0.603,0.174,0.603,0.725,0.0,0.0786,-3.054,0.0393,122.803,4
44,All In My Head (Flex) (feat. Fetty Wap),7/27 (Deluxe),Fifth Harmony,2016-05-27,210573,67,0.689,0.023,0.689,0.791,0.0,0.0526,-5.194,0.053,95.04,4
45,Back To Sleep,Royalty (Deluxe Version),Chris Brown,2015-12-18,201253,65,0.647,0.0424,0.647,0.646,0.0,0.0888,-5.483,0.243,92.981,4
46,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,73,0.688,0.0356,0.688,0.532,3.08e-06,0.172,-8.361,0.0875,164.068,4
47,I Know What You Did Last Summer,Handwritten,Shawn Mendes,2015-04-14,223853,72,0.687,0.102,0.687,0.761,0.0,0.147,-4.582,0.0876,113.939,4
48,Hide Away,"Sit Still, Look Pretty",Daya,2016-10-07,192376,64,0.885,0.225,0.885,0.801,1.65e-06,0.0733,-4.716,0.0882,95.011,4
49,Lost Boy,Lost Boy,Ruth B.,2015-08-21,275280,77,0.71,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,123.994,4
50,Unsteady,VHS,X Ambassadors,2015-06-30,193546,78,0.389,0.178,0.389,0.665,0.000732,0.116,-6.169,0.0644,117.055,4
51,Close,Last Year Was Complicated,Nick Jonas,2016-06-10,234213,72,0.654,0.253,0.654,0.623,0.0,0.144,-5.273,0.082,123.996,4
52,White Iverson,Stoney (Deluxe),Post Malone,2016-12-09,256533,80,0.675,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,130.098,4
53,2 Phones,Islah (Deluxe),Kevin Gates,2016-01-29,240000,71,0.895,0.157,0.895,0.681,0.0,0.189,-5.267,0.358,121.918,4
54,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,194613,79,0.53,0.108,0.53,0.433,0.0,0.135,-10.598,0.185,160.14,4
55,Gold,Gold,Kiiara,2015-10-26,225882,61,0.6,0.615,0.6,0.412,0.0025,0.134,-9.343,0.344,113.049,5
56,Same Old Love,Revival (Deluxe),Selena Gomez,2015-10-09,229080,68,0.672,0.0223,0.672,0.593,0.0,0.214,-4.01,0.0304,98.02,4
57,Here,Know-It-All (Deluxe),Alessia Cara,2016-03-11,199453,68,0.376,0.0783,0.376,0.822,0.0,0.0841,-3.974,0.104,120.493,4
58,Jumpman,What A Time To Be Alive,Drake,2015-09-20,205879,75,0.852,0.0559,0.852,0.553,0.0,0.332,-7.286,0.187,142.079,4
59,Ride,Blurryface,Twenty One Pilots,2015-05-15,214506,83,0.645,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,4
60,My House,My House,Flo Rida,2015-04-07,192190,78,0.688,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
61,NO,Thank You (Deluxe Version),Meghan Trainor,2017-05-12,213506,71,0.557,0.0125,0.557,0.801,1.66e-06,0.737,-3.602,0.218,92.135,4
62,You Don't Own Me (feat. G-Eazy),FMA,SAYGRACE,2016-07-01,201493,72,0.332,0.159,0.332,0.635,2.79e-06,0.0599,-5.653,0.0898,186.249,3
63,Low Life (feat. The Weeknd),EVOL,Future,2016-04-13,313546,76,0.722,0.337,0.722,0.331,0.283,0.146,-7.789,0.0725,143.974,4
64,One Call Away,Nine Track Mind,Charlie Puth,2016-01-29,194453,73,0.667,0.403,0.667,0.613,0.0,0.115,-5.353,0.0344,91.024,4
65,Hotter Than Hell,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,187957,67,0.532,0.011,0.532,0.868,0.0,0.0584,-4.23,0.0908,110.127,4
66,Final Song,Final Song,MØ,2016-05-13,235826,71,0.695,0.014,0.695,0.672,8.44e-05,0.0756,-6.109,0.0345,104.988,4
67,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,80,0.671,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4
68,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,2016-06-24,243490,79,0.502,0.255,0.502,0.786,0.0,0.65,-4.378,0.317,169.021,4
69,Hands To Myself,Revival (Deluxe),Selena Gomez,2015-10-09,200680,69,0.811,0.0147,0.811,0.499,2.44e-06,0.342,-7.161,0.118,111.016,4
70,My Way,My Way,Calvin Harris,2016-09-16,219159,77,0.819,0.0935,0.819,0.913,3.72e-05,0.161,-3.059,0.0427,119.989,4
71,Sweet Lovin' - Radio Edit,Sweet Lovin',Sigala,2015-12-14,202149,49,0.683,0.0553,0.683,0.91,4.78e-06,0.336,-1.231,0.0515,124.977,4
72,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016-01-29,217706,81,0.728,0.621,0.728,0.563,0.0,0.179,-8.053,0.134,100.017,4
73,In the Name of Love,In the Name of Love,Martin Garrix,2016-07-29,195706,80,0.501,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,133.99,4
74,The Girl Is Mine feat. Destiny's Child & Brandy,The Girl Is Mine featuring Destiny's Child & Brandy (Remixes) - EP,99 Souls,2016-01-15,216613,58,0.683,0.00422,0.683,0.943,0.0978,0.0355,-3.6,0.0397,118.99,4
75,When We Were Young,25,Adele,2015-11-20,290900,76,0.377,0.303,0.377,0.595,0.0,0.095,-5.936,0.0489,144.464,4
76,Sexual,Sexual,NEIKED,2016,188888,68,0.797,0.0692,0.797,0.567,0.0,0.0705,-7.503,0.0651,108.024,4
77,The Greatest (feat. Kendrick Lamar),This Is Acting (Deluxe Version),Sia,2016-10-21,210226,74,0.668,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,4
