,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
78,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,80,0.623,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4
79,History,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,187426,79,0.655,0.0352,0.655,0.699,0.0,0.064,-4.421,0.0493,86.704,4
80,Controlla,Views,Drake,2016-05-06,245226,73,0.59,0.0789,0.59,0.468,0.0,0.101,-11.083,0.185,92.287,4
81,Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,2017-11-24,246240,75,0.773,0.0239,0.773,0.747,8.23e-06,0.11,-4.061,0.0889,126.014,4
82,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,251088,78,0.72,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4
83,Faded,Different World,Alan Walker,2018-12-14,212106,81,0.468,0.0281,0.468,0.627,7.97e-06,0.11,-5.085,0.0476,179.642,4
84,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,83,0.444,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4
85,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,81,0.774,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4
86,Too Good,Views,Drake,2016-05-06,263373,74,0.794,0.0489,0.794,0.653,4.88e-05,0.1,-7.839,0.104,117.996,4
87,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,2016-05-27,214480,79,0.803,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,105.017,4
88,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,77,0.746,0.0152,0.746,0.754,0.0,0.0486,-6.684,0.0676,149.882,4
89,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,78,0.664,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,4
90,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,198293,80,0.765,0.222,0.765,0.356,0.0,0.0963,-5.556,0.196,97.001,4
91,"Sit Still, Look Pretty","Sit Still, Look Pretty",Daya,2016-10-07,202221,70,0.657,0.141,0.657,0.739,0.0,0.178,-4.081,0.274,181.994,4
92,Broccoli (feat. Lil Yachty),Big Baby DRAM,Shelley FKA DRAM,2016-10-21,225205,70,0.886,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4
93,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,81,0.649,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4
94,Pop Style,Views,Drake,2016-05-06,212946,65,0.713,0.192,0.713,0.462,2.16e-06,0.105,-10.027,0.123,133.053,4
95,Say It,I Told You,Tory Lanez,2016-08-19,237786,72,0.546,0.0862,0.546,0.529,6.5e-06,0.124,-10.511,0.0583,107.331,4
96,When You Love Someone,First Impressions,James TW,2016-04-15,216373,1,0.68,0.256,0.68,0.446,0.0,0.0515,-6.039,0.0281,125.863,4
97,Not Nice,PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,2016-08-12,202661,64,0.598,0.0253,0.598,0.496,0.00132,0.12,-9.309,0.0804,128.06,4
98,You & Me,You & Me,Marc E. Bassy,2016-05-06,218480,0,0.687,0.0362,0.687,0.645,0.0,0.201,-8.38,0.19,84.925,4
99,Tuesday (feat. Danelle Sandoval),Tuesday (feat. Danelle Sandoval),Burak Yeter,2016-09-02,241874,75,0.841,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0.0688,99.002,4
