"","A_major","A_minor","A#_major","A#_minor","B_major","B_minor","C_major","C_minor","C#_major","C#_minor","D_major","D_minor","D#_major","E_major","E_minor","F_major","F_minor","F#_major","F#_minor","G_major","G_minor","G#_major","G#_minor","D#_minor"
"Snoop Dogg",50,18,7,73,45,75,49,10,151,32,66,7,NA,11,47,16,30,49,47,101,3,42,17,10
"Kid Cudi",9,21,7,16,15,27,17,3,24,3,15,3,NA,3,10,1,8,8,18,18,10,12,3,2
"Kesha",1,NA,2,2,2,4,8,NA,3,2,6,NA,2,2,1,6,4,1,2,4,4,4,NA,NA
"Paramore",7,NA,2,1,3,7,9,1,7,11,7,3,3,9,1,5,5,10,5,4,2,12,NA,NA
"Queens of the Stone Age",23,12,4,17,2,24,19,6,14,4,27,NA,2,7,17,20,7,5,NA,13,2,10,4,2
"Papa Roach",12,26,12,6,12,11,10,11,20,16,31,11,6,8,11,5,10,7,17,23,7,25,4,4
"Mariah Carey",24,15,32,13,8,17,29,7,46,18,18,6,11,23,7,18,27,23,28,35,21,35,6,4
"John Mayer",28,2,7,2,2,5,9,NA,3,8,32,NA,NA,8,2,24,7,2,8,26,2,7,NA,NA
"Black Sabbath",13,10,9,11,15,20,14,3,44,14,25,4,2,13,7,5,10,36,5,16,5,35,7,39
"Kasabian",30,14,4,8,6,22,18,11,7,7,24,11,NA,3,21,10,8,5,9,34,10,6,6,NA
"The Beach Boys",131,29,50,24,83,14,82,17,118,23,95,2,52,111,8,89,12,68,13,93,8,88,10,13
"Kelly Clarkson",25,13,16,10,12,12,25,3,12,4,10,5,1,12,6,9,7,12,4,33,14,29,3,1
"T.I.",23,14,7,28,12,34,27,10,98,25,51,6,1,3,20,8,13,14,33,44,7,41,7,9
"Keane",22,12,9,4,3,11,22,13,13,1,16,9,9,14,NA,13,1,4,1,19,6,10,4,NA
"Eric Clapton",144,23,6,11,10,28,86,2,7,10,86,11,1,62,30,32,4,11,3,114,12,2,3,NA
