,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Rolling in the Deep,21,Adele,2011-01-19,228093,77,0.73,0.138,0.73,0.77,0.0,0.0473,-5.114,0.0298,104.948,4
1,Moves Like Jagger - Studio Recording From The Voice Performance,Hands All Over (Revised International Standard version),Maroon 5,2010,201493,77,0.722,0.0117,0.722,0.761,0.0,0.315,-4.459,0.0475,128.044,4
2,Party Rock Anthem,Sorry For Party Rocking,LMFAO,2011-01-01,262146,73,0.751,0.0206,0.751,0.736,0.0,0.265,-4.168,0.156,130.014,4
3,Firework,Teenage Dream,Katy Perry,2010-08-24,227893,71,0.638,0.141,0.638,0.832,0.0,0.113,-5.039,0.049,124.071,4
4,Grenade,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,223253,76,0.706,0.146,0.706,0.558,0.0,0.118,-7.237,0.0593,110.443,4
5,I Follow Rivers - The Magician Remix,I Follow Rivers (Remixes),Lykke Li,2011-02-18,281106,55,0.786,0.0192,0.786,0.709,0.00118,0.0845,-5.737,0.0395,122.019,4
6,Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,78,0.7,0.0048,0.7,0.709,0.0,0.0289,-5.006,0.0839,122.019,4
7,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E. (Expanded Edition),Chris Brown,2011-03-22,222586,74,0.767,0.0339,0.767,0.677,5.51e-06,0.144,-6.128,0.184,146.155,4
8,Super Bass,Pink Friday,Nicki Minaj,2010-01-01,200013,74,0.72,0.269,0.72,0.861,5.11e-06,0.601,-4.339,0.209,126.991,4
9,Love You Like A Love Song,When The Sun Goes Down,Selena Gomez & The Scene,2011-01-01,188453,77,0.858,0.0761,0.858,0.678,0.0,0.0741,-3.87,0.0469,117.009,4
10,It Girl,Future History (Deluxe Edition),Jason Derulo,2011-09-16,192200,75,0.668,0.0165,0.668,0.718,0.0,0.104,-4.736,0.0605,91.993,4
11,Springsteen,Chief,Eric Church,2011-01-01,263386,75,0.692,0.1,0.692,0.809,9.77e-05,0.185,-5.935,0.0255,104.023,4
12,Midnight City,"Hurry up, We're Dreaming",M83,2011-10-17,243960,78,0.507,0.0182,0.507,0.729,1.4e-06,0.0658,-5.399,0.0393,105.013,4
13,Tongue Tied,Never Trust a Happy Song,Grouplove,2011-09-02,218013,84,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4
14,Donald Trump,Donald Trump - Single,Mac Miller,2011-05-17,165908,68,0.636,0.119,0.636,0.901,0.0,0.391,-7.094,0.118,162.994,4
