,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,232720,81,0.647,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,4
1,Dark Horse,PRISM,Katy Perry,2013-01-01,215672,71,0.647,0.00314,0.647,0.585,0.0,0.165,-6.123,0.0512,131.934,4
2,Jubel - Radio Edit,Jubel (Radio Edit),Klingande,2013-11-01,201626,54,0.686,0.649,0.686,0.524,0.0569,0.14,-7.251,0.0343,124.938,4
3,Fancy,The New Classic (Deluxe Version),Iggy Azalea,2014-01-01,199938,71,0.912,0.0904,0.912,0.716,0.0,0.0491,-4.141,0.0697,94.981,4
4,High (feat. Nicole Millar),High (feat. Nicole Millar),Peking Duk,2014-10-14,228000,51,0.525,0.00129,0.525,0.803,0.000868,0.29,-4.052,0.0492,100.094,4
5,Stay With Me,In The Lonely Hour,Sam Smith,2014-05-26,172723,83,0.418,0.588,0.418,0.42,6.39e-05,0.11,-6.444,0.0414,84.094,4
6,Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,80,0.774,0.0423,0.774,0.756,0.0,0.305,-4.995,0.0389,144.032,4
7,Chandelier,1000 Forms Of Fear,Sia,2014-07-04,216120,80,0.399,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5
8,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
9,Love Runs Out,Native,OneRepublic,2014-01-01,224226,62,0.719,0.167,0.719,0.935,0.0,0.0973,-3.752,0.0589,120.022,4
10,All About That Bass,Title (Deluxe),Meghan Trainor,2015-01-09,187920,73,0.807,0.0573,0.807,0.887,2.87e-06,0.124,-3.726,0.0503,134.052,4
11,Red Lights,Red Lights,Tiësto,2013-12-13,263890,0,0.653,0.000739,0.653,0.829,1.5e-06,0.225,-4.783,0.0377,124.989,4
12,Post to Be (feat. Chris Brown & Jhene Aiko),Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,2014-11-11,226580,61,0.733,0.0697,0.733,0.676,0.0,0.208,-5.655,0.0432,97.448,4
13,CoCo,CoCo,O.T. Genasis,2014-11-10,239573,64,0.886,0.00215,0.886,0.628,1.15e-05,0.31,-5.949,0.131,119.906,4
14,You Know You Like It,You Know You Like It,DJ Snake,2014-10-14,247266,71,0.407,0.0141,0.407,0.725,2.46e-06,0.306,-5.346,0.188,196.093,4
15,Only Love Can Hurt Like This,A Perfect Contradiction (Outsiders' Expanded Edition),Paloma Faith,2014-03-10,232893,68,0.566,0.0959,0.566,0.885,9.83e-05,0.334,-4.527,0.0815,90.989,4
16,New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,2014-09-16,244226,70,0.702,0.0506,0.702,0.629,0.0,0.0963,-4.292,0.041,141.967,4
17,Royals,Pure Heroine,Lorde,2013-09-27,190185,77,0.674,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
18,Shower,Shower,Becky G,2014-04-23,206166,77,0.699,0.0317,0.699,0.529,3.59e-05,0.285,-7.548,0.0487,119.987,4
19,2 On (feat. ScHoolboy Q),Aquarius,Tinashe,2014-10-03,227000,70,0.742,0.15,0.742,0.595,0.0,0.111,-7.51,0.107,101.013,4
20,Hey Brother,True,Avicii,2013-09-13,255093,78,0.545,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,0.0436,125.014,4
21,Cool Kids,Talking Dreams (Deluxe Edition),Echosmith,2013-10-04,237626,72,0.719,0.0372,0.719,0.671,8.21e-06,0.12,-6.279,0.0336,130.027,4
22,Na Na,Trigga Reloaded,Trey Songz,2015-06-23,231906,68,0.67,0.328,0.67,0.476,0.0,0.104,-6.253,0.0406,96.975,4
23,Classic,MKTO,MKTO,2012,175426,81,0.72,0.0384,0.72,0.791,0.0,0.157,-4.689,0.124,102.071,4
24,Ain't It Fun,Paramore,Paramore,2013-04-05,296520,74,0.61,0.154,0.61,0.893,4.41e-05,0.021,-3.681,0.0921,104.031,4
25,Not a Bad Thing,The 20/20 Experience - 2 of 2 (Deluxe),Justin Timberlake,2013-09-27,688453,57,0.308,0.527,0.308,0.563,4.58e-06,0.134,-9.169,0.0719,85.901,4
26,Show Me (feat. Chris Brown),My Own Lane (Expanded Edition),Kid Ink,2014-01-06,217800,72,0.711,0.0354,0.711,0.508,0.0,0.141,-7.299,0.0494,98.098,4
27,Burn,Halcyon Days,Ellie Goulding,2014-01-01,231211,71,0.559,0.31,0.559,0.777,0.0,0.105,-5.031,0.0432,87.016,4
