,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Pray For Me (with Kendrick Lamar),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,211440,77,0.735,0.0762,0.735,0.677,2.17e-05,0.111,-4.979,0.093,100.584,4
40,Back To You,13 Reasons Why (Season 2),Selena Gomez,2018-05-18,210240,74,0.6,0.0984,0.6,0.683,1.26e-06,0.11,-6.271,0.0493,102.036,4
41,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,90,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
42,Walk It Talk It,Culture II,Migos,2018-01-26,276147,78,0.907,0.0876,0.907,0.633,2.6e-06,0.106,-5.145,0.184,145.914,4
43,Him & I (with Halsey),The Beautiful & Damned,G-Eazy,2017-12-15,268866,77,0.589,0.0534,0.589,0.731,0.0,0.308,-6.343,0.0868,87.908,4
44,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,213400,80,0.8,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.058,4
45,In My Blood,Shawn Mendes,Shawn Mendes,2018-05-25,211360,80,0.622,0.0573,0.622,0.712,0.0,0.13,-7.321,0.066,140.025,4
46,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,82,0.681,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4
47,Stir Fry,Culture II,Migos,2018-01-26,190288,74,0.817,0.00263,0.817,0.816,0.0,0.159,-5.402,0.269,181.982,4
48,This Is America,This Is America,Childish Gambino,2018-05-06,225773,78,0.854,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,4
49,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,232186,81,0.698,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4
50,Nonstop,Scorpion,Drake,2018-06-29,238614,81,0.912,0.0165,0.912,0.412,0.0126,0.104,-8.074,0.123,154.983,4
51,Bodak Yellow,Invasion of Privacy,Cardi B,2018-04-06,223712,78,0.926,0.0659,0.926,0.703,0.0,0.231,-6.337,0.103,125.022,4
52,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,2018-03-15,216631,77,0.755,0.147,0.755,0.599,0.0,0.109,-5.042,0.224,133.123,4
53,GUMMO,Day69: Graduation Day,6ix9ine,2018-04-10,157643,70,0.66,0.0553,0.66,0.775,0.0,0.129,-4.926,0.172,157.036,4
54,Plug Walk,The World Is Yours,Rich The Kid,2018-03-30,175229,76,0.876,0.202,0.876,0.519,0.0,0.108,-6.531,0.143,94.981,4
55,Wait,Red Pill Blues (Deluxe),Maroon 5,2018-06-15,190642,66,0.655,0.0959,0.655,0.603,0.0,0.107,-5.014,0.0555,126.088,4
56,Be Careful,Invasion of Privacy,Cardi B,2018-04-06,210787,73,0.82,0.0256,0.82,0.568,0.0,0.0952,-8.23,0.411,152.279,4
57,Wolves,Wolves,Selena Gomez,2017-10-25,197993,81,0.724,0.124,0.724,0.804,0.0,0.204,-4.614,0.0448,124.987,4
58,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,82,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4
59,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",STAY DANGEROUS,YG,2018-08-03,237240,74,0.745,0.00552,0.745,0.346,0.0,0.0881,-7.709,0.331,203.911,4
60,How Long,Voicenotes,Charlie Puth,2018-05-11,200853,74,0.845,0.211,0.845,0.561,3.49e-06,0.0383,-5.253,0.0778,109.974,4
61,Natural,Origins (Deluxe),Imagine Dragons,2018-11-09,189466,83,0.704,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,100.0,4
62,You Make It Easy,Rearview Town,Jason Aldean,2018-04-13,193306,60,0.547,0.159,0.547,0.56,0.0,0.103,-5.86,0.0283,131.855,3
63,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
64,No Brainer,No Brainer,DJ Khaled,2018-07-27,260000,74,0.552,0.0733,0.552,0.76,0.0,0.0865,-4.706,0.342,135.702,5
65,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,82,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4
66,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,84,0.461,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,134.17,3
67,"King's Dead (with Kendrick Lamar, Future & James Blake)","King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018-01-12,229670,74,0.645,0.000813,0.645,0.705,0.0,0.128,-5.008,0.299,137.133,4
68,Happier,Happier,Marshmello,2018-08-17,214289,87,0.687,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
69,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,80,0.903,0.542,0.903,0.675,1.28e-05,0.0595,-3.445,0.214,96.507,4
70,Simple,Can't Say I Ain't Country,Florida Georgia Line,2019-02-15,185200,76,0.362,0.0791,0.362,0.882,0.0,0.15,-3.717,0.0973,199.811,4
71,Say Something (feat. Chris Stapleton),Man of the Woods,Justin Timberlake,2018-02-02,278893,72,0.707,0.103,0.707,0.632,1.09e-05,0.0841,-7.031,0.0789,97.04,4
72,I'm Upset,Scorpion,Drake,2018-06-29,214466,73,0.899,0.279,0.899,0.586,0.0,0.0836,-7.866,0.343,150.002,4
73,Moonlight,?,XXXTENTACION,2018-03-16,135090,86,0.921,0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,128.009,4
74,What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),Maroon 5,2018-06-15,199849,75,0.799,0.0788,0.799,0.597,5.66e-06,0.1,-5.131,0.0611,110.001,4
75,X,Intimo,Nicky Jam,2019-11-01,172854,78,0.594,0.0338,0.594,0.749,0.00106,0.3,-5.298,0.056,179.968,4
76,Trip,Ella Mai,Ella Mai,2018-10-12,213993,77,0.477,0.225,0.477,0.61,0.0,0.107,-5.628,0.144,79.882,4
77,Dura,Dura,Daddy Yankee,2018-01-18,200480,75,0.783,0.174,0.783,0.84,0.0,0.412,-3.416,0.051,95.001,4
78,changes,?,XXXTENTACION,2018-03-16,121886,86,0.669,0.883,0.669,0.308,0.0,0.0984,-10.068,0.029,64.934,4
79,Powerglide (feat. Juicy J) - From SR3MM,SR3MM,Rae Sremmurd,2018-05-04,332300,72,0.713,0.0168,0.713,0.831,0.0,0.118,-4.75,0.15,173.948,4
80,IDGAF,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,217946,82,0.836,0.0403,0.836,0.544,0.0,0.0824,-5.975,0.0943,97.028,4
81,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,222653,78,0.737,0.0441,0.737,0.636,6.66e-05,0.35,-4.546,0.0437,105.005,4
82,Nevermind,Nevermind,Dennis Lloyd,2017-06-30,156600,80,0.6,0.159,0.6,0.688,1.29e-05,0.409,-8.339,0.201,99.977,4
83,In My Mind,In My Mind,Dynoro,2018-06-08,184560,84,0.694,0.176,0.694,0.77,1.1e-05,0.118,-5.335,0.149,125.905,4
84,River (feat. Ed Sheeran),Revival,Eminem,2017-12-15,221013,76,0.748,0.142,0.748,0.749,0.0,0.0713,-5.916,0.516,90.09,4
85,Me Niego (feat. Ozuna & Wisin),Me Niego (feat. Ozuna & Wisin),Reik,2018-02-16,221653,8,0.777,0.0543,0.777,0.779,0.0,0.636,-4.449,0.0972,94.023,4
86,Échame La Culpa,Échame La Culpa,Luis Fonsi,2017-11-17,173720,69,0.733,0.0376,0.733,0.892,0.0,0.137,-3.641,0.0417,95.989,4
87,Jackie Chan,Jackie Chan,Tiësto,2018-05-18,215759,78,0.747,0.374,0.747,0.834,0.0,0.0586,-2.867,0.045,128.005,4
88,Rise,Blue,Jonas Blue,2018-11-09,194407,72,0.687,0.327,0.687,0.785,0.0,0.203,-4.65,0.0333,106.046,4
89,Body (feat. brando),Body (feat. brando),Loud Luxury,2017-10-27,163216,61,0.752,0.0476,0.752,0.764,9.44e-05,0.0543,-4.399,0.038,121.958,4
90,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,83,0.697,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,96.133,4
91,Sin Pijama,Sin Pijama,Becky G,2018-04-20,188560,76,0.791,0.354,0.791,0.745,2.93e-05,0.104,-3.695,0.0464,94.014,4
92,Silence,Silence,Marshmello,2017-08-11,180822,82,0.52,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4
93,Déjala Que Vuelva (feat. Manuel Turizo),Ubuntu,Piso 21,2018-05-11,220116,72,0.681,0.0482,0.681,0.788,0.0,0.0753,-4.323,0.0785,170.019,4
94,Flames,7,David Guetta,2018-09-14,194680,66,0.631,0.0817,0.631,0.649,3.8e-06,0.0934,-5.892,0.0385,93.95,4
95,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,212500,82,0.842,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,4
96,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,80,0.664,0.0337,0.664,0.708,0.0,0.0841,-4.154,0.0474,103.07,4
97,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,2018-02-16,201526,75,0.792,0.165,0.792,0.895,0.0,0.0501,-3.112,0.0589,94.968,4
98,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,89,0.351,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,4
99,I Miss You (feat. Julia Michaels),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,205986,75,0.693,0.299,0.693,0.624,7.64e-06,0.0955,-7.482,0.0448,105.002,4
