,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Old Town Road - Remix,7 EP,Lil Nas X,2019-06-21,157066,85,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4
1,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,90,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4
2,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,83,0.759,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
3,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,88,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4
4,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,84,0.755,0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,4
5,Strike a Pose (feat. Aitch),Strike a Pose (feat. Aitch),Young T & Bugsey,2019-06-06,214203,69,0.531,0.0107,0.531,0.581,1.62e-05,0.101,-5.801,0.101,137.776,5
6,Without Me,Without Me,Halsey,2018-10-04,201660,84,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
7,Options,Roots,NSG,2020-06-19,240081,61,0.836,0.389,0.836,0.621,9.16e-05,0.104,-4.684,0.0894,101.993,4
8,Shallow,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,215733,87,0.572,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,4
9,Ladbroke Grove,AJ Tracey,AJ Tracey,2019-02-08,190537,75,0.903,0.0939,0.903,0.839,0.0,0.102,-9.447,0.208,133.986,4
10,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,92,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
11,Keisha & Becky - Remix,Keisha & Becky (Remix),Russ Millions,2019-04-11,252906,72,0.863,0.251,0.863,0.471,0.0,0.121,-9.545,0.478,140.969,4
12,I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,81,0.798,0.0902,0.798,0.676,0.0,0.0894,-5.041,0.0442,101.956,4
13,Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,149546,86,0.829,0.136,0.829,0.539,1.78e-06,0.103,-7.359,0.208,99.96,4
14,Con Calma,Con Calma,Daddy Yankee,2019-01-24,193226,84,0.737,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4
15,Happier,Happier,Marshmello,2018-08-17,214289,87,0.687,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
16,Calma - Remix,Calma (Remix),Pedro Capó,2018-10-05,238200,83,0.826,0.323,0.826,0.773,0.0,0.143,-4.218,0.0524,126.899,4
17,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,86,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
18,Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,85,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4
19,Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,187436,86,0.719,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,4
20,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,85,0.741,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,4
21,bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,193143,83,0.905,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,4
22,Old Town Road,7 EP,Lil Nas X,2019-06-21,113000,81,0.907,0.0578,0.907,0.53,2.23e-06,0.101,-6.112,0.127,135.998,4
23,Talk (feat. Disclosure),Free Spirit,Khalid,2019-04-05,197573,79,0.901,0.051,0.901,0.4,0.0,0.0599,-8.575,0.126,135.984,4
24,"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,81,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4
25,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,84,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4
